Latitude,Longitude,Location ID
45.5889060639,-122.5931739807,17165
45.5235983789,-122.6721457609,187595
45.5236231246,-122.6726210117,132715
45.5235103727,-122.6732218266,70808
45.5237066667,-122.6713871833,206258
45.5242094308,-122.6728892326,68405
45.5245835703,-122.6730967102,150521
45.5232961435,-122.6705315709,132685
45.5226233833,-122.6725888252,26300
45.5249610964,-122.6715481281,86503
45.5222901679,-122.6814995316,44672
45.5222878167,-122.6816301167,61630
45.5200036763,-122.6744073629,98423
45.5201037662,-122.6735488674,65217
45.5194754635,-122.6745303286,85252
45.519477061,-122.6750602116,213834
45.5178800078,-122.6749813557,32381
45.5196830372,-122.6752447558,46604
45.5195731041,-122.6759604332,66010
45.5180754639,-122.6762259007,120995
45.5197637267,-122.6770004651,219316
45.5192481857,-122.6778781414,17262
45.5192517333,-122.6775506333,399812
45.5223076719,-122.681375742,39071
45.522565259,-122.6816458656,86799
45.524044063,-122.6742517948,64545
45.5232848683,-122.6743912697,64548
45.5241619003,-122.6746831796,61580
45.5241305053,-122.6756519079,184217
45.5243388167,-122.6753691,57266
45.5238730571,-122.6758477092,17380
45.5238917667,-122.6756209,34777
45.524161521,-122.6745153849,76959
45.524195557,-122.6745654327,187022
45.5237583707,-122.6750810374,187264
45.5243144642,-122.6744157685,140441
45.5228300982,-122.6737904549,26455
45.524364,-122.6752041,243879
45.5240816466,-122.6754963398,17397
45.5226609679,-122.675268352,64465
45.5230496873,-122.6761844285,197394
45.5233450029,-122.6772397757,255238
45.5230523,-122.6760073167,34891
45.5225403852,-122.6776855386,107444
45.5225425764,-122.6781222224,22161
45.5239688956,-122.6771914959,40170
45.5223559364,-122.677927539,50658
45.5226328333,-122.6782299667,48309
45.5226910356,-122.6760327816,64472
45.5407533,-122.6778247,21020
45.5517116167,-122.6755436167,277982
45.5517872598,-122.6754819432,158665
45.55233205,-122.67583675,41404
45.5517423833,-122.67573985,53612
45.54941965,-122.6752672,68813
45.5501693333,-122.67573865,139262
45.5481532167,-122.67545645,41000
45.5230556045,-122.6812309027,17645
45.5227887553,-122.6849591732,64682
45.5224542524,-122.6833927631,66071
45.5223377397,-122.6837790012,81010
45.5231382899,-122.6829314232,64565
45.5220971966,-122.6816225052,37158
45.5219994756,-122.6814830303,17651
45.5203474167,-122.6771355833,32397
45.5200750903,-122.6789724827,96369
45.5204153646,-122.679350188,55245
45.5205850833,-122.6805284167,69787
45.5205580721,-122.6808366179,55343
45.5205285833,-122.6809579333,132132
45.5208493626,-122.6820248365,108979
45.5123768906,-122.648845911,52370
45.5223414982,-122.6902270317,74195
45.5231157393,-122.6846855879,63342
45.5226083495,-122.6823735237,30319
45.5232923851,-122.6836824417,81181
45.5230022892,-122.6812044723,27951
45.520679752,-122.6785510651,225710
45.5178649727,-122.6768374443,19104
45.5185265136,-122.6761722565,24417
45.5179551833,-122.6755070686,75784
45.5177597269,-122.6694130898,79117
45.5895226398,-122.5932116901,180169
45.5892063854,-122.5972938538,3414146
45.5589709689,-122.6508951187,52821
45.5285689516,-122.6764512062,1354017
45.5226767,-122.6733613,13281
45.5216762436,-122.6734793186,34352
45.5216536925,-122.6722937822,50922
45.5246228481,-122.6819121838,36079
45.5879900734,-122.594268322,62918
45.5208869484,-122.6784574986,176873
45.530078249,-122.6835954896,119490
45.529666295,-122.685624361,20781
45.5282861567,-122.6807628572,61325
45.5265970833,-122.6842148333,25863
45.5294859113,-122.6842617989,50940
45.525841718,-122.6789223824,32740
45.5240774971,-122.6810480687,214117
45.58907318,-122.5962945695,267260
45.5176319281,-122.6800239086,35656
45.5355167,-122.6998083667,62349
45.51870445,-122.7055416333,17178
45.5193534288,-122.7083158493,397432
45.5319060117,-122.6740479469,70456
45.5315550708,-122.6557610766,430112
45.5310474156,-122.6573556549,315349
45.5321020236,-122.6565930759,348296
45.5336784907,-122.6542559909,390700
45.5308538069,-122.6509809494,52899
45.531607,-122.6539146833,403484
45.5325373251,-122.6535129547,25581
45.5318458862,-122.6611196995,75874
45.5340780007,-122.6582872868,75895
45.53548185,-122.6645273667,524270
45.5907231294,-122.5941431343,268423
45.5877047618,-122.59354949,436545
45.5899547643,-122.5930948429,473946
45.5895217212,-122.5978732109,148228
45.589893335,-122.5975587494,165505
45.5897740358,-122.5973907454,180210
45.5898170089,-122.5916240421,79057
45.5872167255,-122.5930023193,56996
45.5893120748,-122.5933709365,176798
45.589167169,-122.5932535001,305689
45.5225031125,-122.6707005501,17376
45.519902193,-122.6706683636,243114
45.5217476555,-122.6734149456,12339
45.5181506391,-122.6771271229,64667
45.5188873508,-122.6793050766,17303
45.5235254063,-122.6792836189,206816
45.5226590887,-122.6568603516,13676
45.5229691605,-122.6634693146,131142
45.5115491426,-122.6803307389,107711
45.5644695282,-122.6299524307,17654
45.5127152125,-122.6791119576,101371
45.5131563833,-122.67088775,112897
45.51645665,-122.6606319,681031
45.5120843,-122.6489939833,360166
45.5118847333,-122.6267597667,265995
45.5046137667,-122.63207445,133455
45.5332231189,-122.7006286383,90797
45.5315753209,-122.6667308807,39452
45.5185949,-122.6634796333,106750
45.5299939907,-122.6621067524,77544
45.5286290806,-122.6629114151,102754
45.5208605753,-122.6786823911,778721
45.5344804,-122.6506269167,219627
45.5251706214,-122.6816493273,45953
45.5245484874,-122.683818561,21923
45.5249385466,-122.694529295,38161
45.5258495752,-122.682609181,41648
45.5236847179,-122.6827833892,111970
45.5865032403,-122.5918606245,154720
45.5250435667,-122.6803255667,650473
45.55924615,-122.6543138,55834
45.52493103,-122.684006989,17655
45.5245311216,-122.6839140391,652149
45.5204171772,-122.6819664602,316279
45.5253406837,-122.6810109615,24731
45.5188272114,-122.8415465355,206297
45.5223792667,-122.6841091,64599
45.5253999,-122.6809499167,38632
45.5238486277,-122.680850029,162486
45.5267368666,-122.6821562648,63324
45.5180153236,-122.6817190647,81465
45.5190075855,-122.6784480875,73839
45.5324451833,-122.69053905,82890
45.519403,-122.6827441833,40014
45.5165976333,-122.6833092,36891
45.5296628667,-122.6942745167,86645
45.5262539378,-122.6891970634,74824
45.5215960833,-122.6537261333,88274
45.5263352333,-122.6878881333,12322
45.52872679,-122.6824808121,88872
45.5186994151,-122.6785755157,17459
45.5186918976,-122.6795089245,88886
45.5263892334,-122.6834571362,24653
45.5263967498,-122.6844120026,17612
45.5202618636,-122.6745596468,39054
45.5101505667,-122.6837426833,35010
45.5121465667,-122.6849800167,29754
45.52415875,-122.680944,55775
45.5042801667,-122.6461378667,61487
45.5209207755,-122.681504488,64093
45.5107679541,-122.6811504364,65926
45.5207347259,-122.6815447211,68104
45.5208343283,-122.6876521111,70656
45.5184996667,-122.6938500167,70845
45.5173724,-122.6774105667,29659
45.5273782333,-122.68492375,39085
45.5206257268,-122.6812362671,93902
45.5212783333,-122.6764279833,17671
45.5201110791,-122.6636202078,21032
45.5258263667,-122.6851585667,36042
45.5161031667,-122.6773597333,19133
45.5153615715,-122.6776957512,78781
45.5147451013,-122.6778137684,101359
45.5123897833,-122.6532805333,20968
45.5263372167,-122.6950272,86450
45.5163501652,-122.6305907965,114496
45.5208341477,-122.6813322022,150239
45.5261099405,-122.6944344908,22764
45.5229580167,-122.6890151667,166695
45.5266816,-122.6859349167,215108
45.5199755333,-122.6824937833,126401
45.5258282284,-122.6838781285,275371
45.52395755,-122.6927486,83575
45.5590588,-122.6340897,68806
45.5287365667,-122.6980357667,46001
45.5227719442,-122.6587465697,57158
45.5298917739,-122.5638198853,113952
45.50167355,-122.5773421,201328
45.5184663739,-122.6831781864,464299
45.5046400411,-122.6254248619,356616
45.5180529113,-122.6795089245,77539
45.52567125,-122.6842613,24547
45.5250169833,-122.6828748,189986
45.5590716667,-122.6353280333,233055
45.5190114735,-122.68327577,153595
45.5187317167,-122.6607296833,79104
45.5181723347,-122.6609810087,31391
45.5223546529,-122.6770278811,632033
45.5369809,-122.7052882333,36268
45.5239525333,-122.6699172,588790
45.5282988167,-122.68104585,64115
45.5160757664,-122.6563560963,17241
45.5124307333,-122.6562830833,20962
45.5117209667,-122.6586516167,60045
45.5125422926,-122.653491497,356834
45.5172390291,-122.6727015469,51202
45.4865230829,-122.7832889557,17839
45.5258955103,-122.6753942312,907630
45.5280746527,-122.6986027679,284387
45.5174469135,-122.676138983,39031
45.5186843802,-122.6814079285,487801
45.5228412523,-122.6841699889,355703
45.522119,-122.6695964833,658263
45.52534085,-122.6836562167,1025116
45.5524951996,-122.6806139946,25256
45.5226233833,-122.6731038094,59982
45.5888409708,-122.5958496942,651861
45.52667465,-122.6946014833,317192
45.5269406833,-122.6947731667,400253
45.5171432829,-122.6737582684,72860
45.5509400333,-122.6670765167,230558
45.5205187167,-122.62817905,308566
45.5261148836,-122.6940947771,32354
45.5274660167,-122.6833391667,125817
45.5229126198,-122.6597047649,83689
45.5141753826,-122.6812896923,221473
45.5181330442,-122.6817941666,1163484
45.4993837905,-122.6710546017,238185
45.5256451034,-122.6729536057,64561
45.52772765,-122.6987358167,59886
45.523960267,-122.650685233,1232358
45.5232623178,-122.6383852959,134002
45.5231946662,-122.6917397976,618423
45.527118321,-122.6819014549,24592
45.5243296979,-122.6808071136,4016613
45.5118881998,-122.6345551014,83608
45.5308162278,-122.6846909523,47052
45.5049941167,-122.63244525,514311
45.5264422,-122.68387155,163645
45.5625766423,-122.6771646738,34009
45.5162295,-122.6185662833,101507
45.5214131464,-122.6917934418,15493
45.510106322,-122.7163410187,18658
45.5094743167,-122.71498735,18660
45.5093726,-122.7137148667,18663
45.5088172667,-122.71194775,18667
45.5083568333,-122.71358275,18678
45.5078321,-122.7149965833,18679
45.51533175,-122.6732232167,19135
45.5155194469,-122.6792299747,17556
45.58754715,-122.59284475,186551
45.5211876336,-122.6781785488,428414
45.5280008296,-122.6843166913,1088786
45.5087679969,-122.6658940315,17519
45.5082132,-122.6486792333,337094
45.5231608667,-122.6372140167,405681
45.5247205645,-122.6371836662,521200
45.5212861049,-122.6837385893,391397
45.5231645989,-122.6921153069,23595
45.5118054978,-122.6254677773,17510
45.5278802833,-122.6807977167,24279
45.5121425167,-122.6289542833,25073
45.5290499815,-122.6818478107,27774
45.5230929833,-122.64167855,27930
45.5265194,-122.6767266,37297
45.5247882142,-122.6747775078,43706
45.5120628,-122.6146817333,54159
45.5121851739,-122.6143419743,55371
45.5119010667,-122.6213499333,61643
45.5163388885,-122.6262804866,62144
45.5120815222,-122.6152125026,62950
45.5117869333,-122.6148676833,66969
